artistName,resourceType,typeOfVideo,videoUrl,resourceId,title,description,commentCount,likeCount,dislikeCount,viewCount,channelId
A Flock Of Seagulls,video,studio,https://www.youtube.com/watch?v=iIpfWORQWhU,iIpfWORQWhU,A Flock Of Seagulls - I Ran,Music video by A Flock Of Seagulls performing I Ran. (c) 1982 Zomba Productions Limited,2908,19256,414,3473834,null
A Flock Of Seagulls,video,live,https://www.youtube.com/watch?v=SKC8YihbbUU,SKC8YihbbUU,A Flock Of Seagulls - Wishing (If I Had A Photograph Of You) (Live),A FLOCK OF SEAGULLS PERFORM LIVE AT 1983 US FESTIVAL (5/28/83) -Memorial Day Weekend San Bernardino California,33,139,20,47443,null
A Ha,video,studio,https://www.youtube.com/watch?v=qZjUJbWo1LI,qZjUJbWo1LI,a-ha - Forever Not Yours (Official Video),"Watch the official video for a-ha - Forever Not Yours. ""Forever Not Yours"" is the first single from the a-ha album Lifelines.  Share this on Facebook: http://www.facebook.com/sharer/sharer.php?u=http://youtu.be/qZjUJbWo1LI  http://a-ha.com/  http://www.facebook.com/officialaha https://twitter.com/aha_com",65,1132,7,236159,null
A Ha,video,live,https://www.youtube.com/watch?v=qXxJeEMmFDM,qXxJeEMmFDM,A-ha - Take On Me - Live 8- Berlin - 2005 [HD],A-ha - Take On Me - Live 8- Berlin - 2005,1498,11148,342,3112175,null
A Taste Of Honey,video,studio,https://www.youtube.com/watch?v=nvIydHPhb98,nvIydHPhb98,A Taste of Honey - Boogie Oogie Oogie 1978,Disco Classic!,621,3552,89,971668,null
A Taste Of Honey,video,live,https://www.youtube.com/watch?v=AhMFyOD4Pso,AhMFyOD4Pso,A Taste Of Honey ~ Boogie Oogie Oogie {Live 1978},,17,126,0,28464,null
A$AP Rocky,video,studio,https://www.youtube.com/watch?v=5v6JUzxWoGw,5v6JUzxWoGw,A$AP Rocky - Multiply (feat. Juicy J),Directed By: Shomi Patwary- A$AP Rocky  Director of Photography: Thuan Tran- Sebastian Jimenez Producer: Chad Gihron Associate Producer: Sameer Naseem Editing / Post: Shomi Patwary- Punom Patwary First AD: Stephanie Lou Hague Casting: Jorge Wright- Booki Powell Wardrobe: Ling- Matthew Henson PA: Ryan Cagide- Van Young- Tashfiq Patwary Stage: 3D Live,7835,77244,1965,10530360,null
A$AP Rocky,video,live,https://www.youtube.com/watch?v=uL4kyoXQV8w,uL4kyoXQV8w,A$AP Rocky - Intro/Suddenly | Live in Sydney | Moshcam,For exclusive Moshcam content- click here to SUBSCRIBE: http://moshc.am/MoshcamSubscribe To watch the full A$AP Rocky concert- click here: http://moshc.am/ASAPRockyGig  --------------------------  A$AP Rocky performing 'Intro/Suddenly' live at Hordern Pavilion in Sydney on 28 June 2013.   Set List:  1. Intro/Suddenly - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx 2. Wassup - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/2-wassup 3. Long Live A$AP - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/3-long-live-asap 4. Purple Swag - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/4-purple-swag 5. Purple Kisses - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/5-purple-kisses 6. Angels - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/6-angels 7. PMW - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/7-pmw 8. Work - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/8-work-asap-ferg 9. Wild For The Night - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/9-wild-for-the-night 10. Interlude - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/10-interlude-monologue 11. I Fucked Your Bitch - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/11-i-fucked-your-bitch-asap-ferg 12. Ghetto Symphony - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/12-ghetto-symphony 13. Hands On The Wheel - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/13-hands-on-the-wheel-schoolboy-q 14. Goldie - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/14-goldie 15. Kissin' Pink - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/15-kissin-pink 16. Trilla - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/16-trilla 17. Freestyles - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/17-freestyles 18. Girls Getting On Stage - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/18-girls-getting-on-stage 19. Peso - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/19-peso 20. Fucking Problems - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/20-fucking-problems 21. End Party - http://www.moshcam.com/asap-rocky/hordern-pavilion-1541.aspx#/21-end-party  --------------------------  Connect with Moshcam:   Facebook - http://moshc.am/MoshcamFacebook Twitter - http://moshc.am/MoshcamTwitter Official Website - http://moshcam.com   Google+ - http://moshc.am/MoshcamGooglePlus Instagram - http://moshc.am/MoshcamInstagram Tumblr - http://moshc.am/MoshcamTumblr   --------------------------  Download our FREE app:   http://moshc.am/MoshcamAppStore  http://moshc.am/MoshcamGooglePlay,50,406,10,82620,null
A'me Lorain,video,studio,https://www.youtube.com/watch?v=6rktXEdp0hg,6rktXEdp0hg,A'me Lorain - Whole Wide World (RELAID AUDIO),"Amy Trujillo in this 1990 one hit wonder from the album ""Starring In...Standing in a Monkey Sea"" and ""True Love"" Original Motion Picture Soundtrack  Courtesy of RCA Records/MGM/UA    People would say that A'me looks like Britney Spears when Britney first made her musical debut in 1998. I remember watching the ""Hit Me Baby One More Time"" music video for the first time in 1998 and I said that Britney looked like A'me Lorain.",134,288,8,77165,null
A'me Lorain,video,live,https://www.youtube.com/watch?v=69U-sQRbrOs,69U-sQRbrOs,A'me Lorain   Heaven Above Live on Rick Dees,A'me Lorain and the Family Affair performing live Heaven Above from their album Standing in a Monkey Sea / Circa 1990,0,9,0,682,null
ABBA,video,studio,https://www.youtube.com/watch?v=unfzfe8f9NI,unfzfe8f9NI,Abba - Mamma Mia,Music video by Abba performing Mamma Mia. (C) 1975 Polar Music International AB,11453,92347,4948,42886337,null
